wm,bm,wloss,wdraw,wwin,wavg
4.0,4.0,0.4787,0.0832,0.4381,0.4797
4.0,5.0,0.4434,0.0897,0.4669,0.5117
4.0,6.0,0.4549,0.0817,0.4634,0.5042
4.0,7.0,0.456,0.0686,0.4754,0.5097
4.0,8.0,0.4627,0.0866,0.4507,0.494
4.0,9.0,0.48,0.0495,0.4705,0.4952
4.0,10.0,0.5,0.0577,0.4423,0.4712
4.0,11.0,0.4401,0.0841,0.4757,0.5178
4.0,12.0,0.3744,0.1013,0.5242,0.5749
4.0,13.0,0.4717,0.0566,0.4717,0.5
4.0,14.0,0.4783,0.0435,0.4783,0.5
4.0,15.0,0.4186,0.0698,0.5116,0.5465
4.0,0.0,0.3817,0.1241,0.4941,0.5562
5.0,4.0,0.5668,0.0797,0.3534,0.3933
5.0,5.0,0.467,0.0935,0.4395,0.4862
5.0,6.0,0.4658,0.0986,0.4356,0.4849
5.0,7.0,0.4422,0.1418,0.416,0.4869
5.0,8.0,0.4187,0.1554,0.4259,0.5036
5.0,9.0,0.4689,0.087,0.4442,0.4877
5.0,10.0,0.466,0.1152,0.4188,0.4764
5.0,11.0,0.4296,0.1109,0.4595,0.515
5.0,12.0,0.5417,0.0896,0.3688,0.4135
5.0,13.0,0.4675,0.1606,0.3718,0.4522
5.0,14.0,0.5053,0.0925,0.4021,0.4484
5.0,15.0,0.4686,0.1063,0.4251,0.4783
5.0,0.0,0.3642,0.0684,0.5674,0.6016
6.0,4.0,0.4722,0.0876,0.4402,0.484
6.0,5.0,0.3959,0.2395,0.3646,0.4843
6.0,6.0,0.3962,0.0874,0.5163,0.56
6.0,7.0,0.438,0.0855,0.4765,0.5192
6.0,8.0,0.4572,0.0927,0.45,0.4964
6.0,9.0,0.4436,0.0872,0.4691,0.5128
6.0,10.0,0.4585,0.1006,0.4409,0.4912
6.0,11.0,0.4458,0.0754,0.4788,0.5165
6.0,12.0,0.4318,0.0777,0.4905,0.5294
6.0,13.0,0.3924,0.0785,0.5291,0.5684
6.0,14.0,0.4286,0.0816,0.4898,0.5306
6.0,15.0,0.4378,0.0647,0.4975,0.5299
6.0,0.0,0.3567,0.0541,0.5892,0.6162
7.0,4.0,0.4706,0.0698,0.4596,0.4945
7.0,5.0,0.4153,0.0821,0.5026,0.5437
7.0,6.0,0.3938,0.0876,0.5186,0.5624
7.0,7.0,0.4342,0.0914,0.4744,0.5201
7.0,8.0,0.4385,0.1066,0.455,0.5083
7.0,9.0,0.4354,0.0905,0.4741,0.5193
7.0,10.0,0.4542,0.0892,0.4567,0.5013
7.0,11.0,0.4259,0.0824,0.4918,0.5329
7.0,12.0,0.4453,0.1019,0.4528,0.5037
7.0,13.0,0.4535,0.0677,0.4788,0.5127
7.0,14.0,0.478,0.0827,0.4393,0.4806
7.0,15.0,0.4799,0.0586,0.4615,0.4908
7.0,0.0,0.3603,0.0563,0.5834,0.6116
8.0,4.0,0.437,0.0741,0.4889,0.5259
8.0,5.0,0.4164,0.0769,0.5067,0.5452
8.0,6.0,0.4141,0.0875,0.4984,0.5421
8.0,7.0,0.4277,0.0981,0.4741,0.5232
8.0,8.0,0.4797,0.0841,0.4362,0.4783
8.0,9.0,0.3733,0.0753,0.5514,0.5891
8.0,10.0,0.4639,0.0832,0.4529,0.4945
8.0,11.0,0.4082,0.1082,0.4836,0.5377
8.0,12.0,0.3873,0.0697,0.543,0.5778
8.0,13.0,0.426,0.107,0.467,0.5205
8.0,14.0,0.4292,0.0905,0.4803,0.5255
8.0,15.0,0.4777,0.092,0.4303,0.4763
8.0,0.0,0.3881,0.0868,0.5251,0.5685
9.0,4.0,0.4501,0.0957,0.4542,0.502
9.0,5.0,0.4633,0.0886,0.4481,0.4924
9.0,6.0,0.4315,0.0755,0.493,0.5308
9.0,7.0,0.4182,0.081,0.5008,0.5413
9.0,8.0,0.4326,0.1068,0.4606,0.514
9.0,9.0,0.4451,0.0831,0.4718,0.5134
9.0,10.0,0.4505,0.0791,0.4703,0.5099
9.0,11.0,0.446,0.106,0.4481,0.501
9.0,12.0,0.4728,0.0697,0.4575,0.4923
9.0,13.0,0.4439,0.0632,0.493,0.5246
9.0,14.0,0.4623,0.0778,0.4599,0.4988
9.0,15.0,0.4427,0.0933,0.464,0.5107
9.0,0.0,0.3872,0.0654,0.5473,0.5801
10.0,4.0,0.4788,0.0939,0.4273,0.4742
10.0,5.0,0.3936,0.1156,0.4908,0.5486
10.0,6.0,0.4025,0.0924,0.5051,0.5513
10.0,7.0,0.4105,0.0986,0.4909,0.5402
10.0,8.0,0.477,0.0821,0.441,0.482
10.0,9.0,0.4213,0.1026,0.4761,0.5274
10.0,10.0,0.4224,0.101,0.4766,0.5271
10.0,11.0,0.4169,0.111,0.472,0.5275
10.0,12.0,0.4402,0.0999,0.4599,0.5098
10.0,13.0,0.4234,0.0968,0.4798,0.5282
10.0,14.0,0.474,0.0685,0.4575,0.4918
10.0,15.0,0.4157,0.0824,0.502,0.5431
10.0,0.0,0.3848,0.0681,0.5471,0.5811
11.0,4.0,0.4521,0.137,0.411,0.4795
11.0,5.0,0.4212,0.1073,0.4715,0.5251
11.0,6.0,0.4181,0.1149,0.467,0.5244
11.0,7.0,0.4136,0.094,0.4924,0.5394
11.0,8.0,0.4286,0.1037,0.4677,0.5196
11.0,9.0,0.4412,0.0886,0.4701,0.5145
11.0,10.0,0.4233,0.1126,0.4641,0.5204
11.0,11.0,0.4179,0.0941,0.4881,0.5351
11.0,12.0,0.4245,0.0861,0.4894,0.5325
11.0,13.0,0.441,0.0895,0.4694,0.5142
11.0,14.0,0.4679,0.0936,0.4385,0.4853
11.0,15.0,0.4825,0.0661,0.4514,0.4844
11.0,0.0,0.375,0.066,0.559,0.592
12.0,4.0,0.4977,0.0922,0.4101,0.4562
12.0,5.0,0.3937,0.1043,0.502,0.5541
12.0,6.0,0.3971,0.1111,0.4918,0.5473
12.0,7.0,0.4482,0.0788,0.473,0.5124
12.0,8.0,0.4528,0.0832,0.464,0.5056
12.0,9.0,0.46,0.075,0.4651,0.5026
12.0,10.0,0.375,0.1298,0.4952,0.5601
12.0,11.0,0.4511,0.0879,0.4609,0.5049
12.0,12.0,0.4487,0.0981,0.4532,0.5023
12.0,13.0,0.4517,0.0836,0.4647,0.5065
12.0,14.0,0.441,0.0994,0.4596,0.5093
12.0,15.0,0.4215,0.0987,0.4798,0.5291
12.0,0.0,0.3716,0.0714,0.557,0.5927
13.0,4.0,0.4479,0.1146,0.4375,0.4948
13.0,5.0,0.4092,0.0933,0.4975,0.5442
13.0,6.0,0.4222,0.1078,0.4701,0.524
13.0,7.0,0.4674,0.0863,0.4463,0.4895
13.0,8.0,0.4596,0.1076,0.4327,0.4865
13.0,9.0,0.4184,0.1026,0.4789,0.5303
13.0,10.0,0.4176,0.1044,0.478,0.5302
13.0,11.0,0.4515,0.0831,0.4654,0.5069
13.0,12.0,0.4183,0.1098,0.472,0.5268
13.0,13.0,0.4056,0.0979,0.4965,0.5455
13.0,14.0,0.3898,0.1182,0.492,0.5511
13.0,15.0,0.4009,0.1462,0.4528,0.5259
13.0,0.0,0.3721,0.0781,0.5498,0.5888
14.0,4.0,0.5108,0.0432,0.446,0.4676
14.0,5.0,0.4205,0.0704,0.5091,0.5443
14.0,6.0,0.4303,0.0797,0.49,0.5299
14.0,7.0,0.4218,0.1062,0.472,0.5251
14.0,8.0,0.515,0.0864,0.3987,0.4419
14.0,9.0,0.4637,0.1089,0.4274,0.4819
14.0,10.0,0.3887,0.1163,0.495,0.5532
14.0,11.0,0.391,0.094,0.515,0.562
14.0,12.0,0.3309,0.0669,0.6022,0.6357
14.0,13.0,0.4524,0.0754,0.4722,0.5099
14.0,14.0,0.4004,0.1354,0.4642,0.5319
14.0,15.0,0.3944,0.0939,0.5117,0.5587
14.0,0.0,0.3783,0.0872,0.5345,0.5781
15.0,4.0,0.367,0.1651,0.4679,0.5505
15.0,5.0,0.495,0.0736,0.4314,0.4682
15.0,6.0,0.4769,0.0872,0.4359,0.4795
15.0,7.0,0.4286,0.0675,0.504,0.5377
15.0,8.0,0.4764,0.0815,0.4421,0.4828
15.0,9.0,0.5366,0.078,0.3854,0.4244
15.0,10.0,0.4082,0.0969,0.4949,0.5434
15.0,11.0,0.4976,0.1005,0.4019,0.4522
15.0,12.0,0.4161,0.0435,0.5404,0.5621
15.0,13.0,0.4556,0.1278,0.4167,0.4806
15.0,14.0,0.4701,0.0961,0.4338,0.4818
15.0,15.0,0.4032,0.1175,0.4794,0.5381
15.0,0.0,0.4036,0.0677,0.5286,0.5625
0.0,4.0,0.5312,0.1009,0.368,0.4184
0.0,5.0,0.5145,0.0597,0.4259,0.4557
0.0,6.0,0.5281,0.0571,0.4149,0.4434
0.0,7.0,0.4345,0.0435,0.522,0.5438
0.0,8.0,0.5106,0.0762,0.4131,0.4512
0.0,9.0,0.5265,0.0676,0.4059,0.4397
0.0,10.0,0.5318,0.0716,0.3966,0.4324
0.0,11.0,0.5607,0.0669,0.3724,0.4059
0.0,12.0,0.4899,0.0716,0.4384,0.4742
0.0,13.0,0.5289,0.0767,0.3943,0.4327
0.0,14.0,0.4858,0.0728,0.4415,0.4778
0.0,15.0,0.5115,0.0796,0.4088,0.4487
0.0,0.0,0.4292,0.0514,0.5194,0.5451
